17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,Lapatinib,Nilotinib,Nutlin-3,PD-0325901,PD-0332991,PF2341066,PHA-665752,PLX4720,Paclitaxel,Panobinostat,RAF265,Sorafenib,TAE684,TKI258,Topotecan,ZD-6474
3.0622,1.6723,0.6198,2.8096,0.245,4.389,0.08479,0.5246,0.1278,0.7904,2.8355,0.6272,0.8545,0.9168,0.9326,5.7297,5.0999,0.8884,0.8047,1.3712,0.8447,3.8462,0.4765
3.535,0.9948,0.8491,0.5872,1.92,3.3621,0.1657,1.089,0.5269,0,0.9413,0,0.1933,0,0.5155,7.0226,3.6088,1.6212,0.7932,1.1746,0.6844,3.4983,0.8562
3.782,1.5436,1.2147,1.1495,0.2919,4.5677,0.3791,0.1402,0.5869,0.2235,2.221,0.7454,0.9721,0.3701,0.07659,5.5687,4.0279,1.2339,0.4203,1.3417,1.3518,4.4574,1.7839
3.6605,1.7665,1.8525,2.5412,1.6441,5.5188,3.6396,1.5649,2.1147,2.772,2.5862,2.4569,2.0731,1.8775,1.5218,7.7957,5.983,3.4219,1.8187,3.2246,2.6279,5.3689,2.0536
2.9596,1.4376,2.1677,0.6281,1.8863,1.8827,0.06305,1.5596,0.7575,0.7115,1.9489,0.9353,0.2945,0.669,0.338,4.0875,3.5201,2.1399,0.1058,0.7222,0.9248,3.1708,1.2662
3.522,1.2929,1.1074,2.4031,0.4567,2.8908,0.5398,0.5409,0.9183,0.952,3.4454,1.4771,0.9068,0.6963,2.0835,5.3468,4.7205,2.2858,0.6724,1.5978,0.8724,4.0707,1.4867
3.6759,0.3189,0.05208,1.5453,0.07583,3.8186,0.408,0.2543,0.6024,0.01872,2.7382,0.08833,0.2865,0,0.403,5.4703,4.2886,1.9139,0.4669,0.6554,0.661,3.8954,0.2085
2.4662,0.3615,0.2508,0.2375,0.08293,2.5153,0.03331,0,0,0.2102,0.5436,0,0.4959,0.08666,0.01494,4.6157,4.0075,1.3704,0.2818,1.4006,1.1598,2.649,1.0122
3.5747,0.5525,0.714,0.117,0.3697,2.8739,0.293,0.3485,1.727,0.364,0.5889,0.8348,0.5515,0.6474,0.05216,4.3533,3.6206,2.2706,2.0935,1.2913,2.2652,2.586,0.968
4.747,1.0006,0.793,1.8154,0,3.5949,0.06193,0.1202,0.02046,0.1101,2.4465,0,0.5221,0.2003,0.7129,7.1679,4.3673,0.9206,0.05127,0.8825,0.858,3.1484,1.3466
4.7559,0.6674,0.3709,2.5348,0.2241,4.4446,0.7732,0.6209,0.4157,0.9955,3.6018,0.6759,1.3639,0.03508,0.3847,6.5225,4.5095,2.0551,0.9908,1.9146,1.8416,4.6525,1.3352
3.5625,1.4484,0.9057,3.2996,0.2889,3.9345,0.02134,0.1527,0.521,0.4491,4.8148,0.1961,0.7175,0.4121,2.9645,6.0932,4.6373,2.2543,0.6118,1.8735,1.0899,3.2038,0.8069
2.9712,1.6406,0.4962,1.8637,0.4884,1.7063,0,0.6707,0.6661,0.4832,3.1106,0.2405,0.4691,0.08954,0,4.9753,3.6981,1.4266,0.6549,1.3264,1.2616,1.8717,0.4353
3.2142,1.8822,4.0457,1.2336,1.0818,5.8889,2.1997,1.1767,7.0051,1.5865,1.7295,0.7632,3.0952,1.7146,1.0265,6.7188,6.3121,2.4329,2.1035,2.8218,2.0343,6.526,3.0741
5.2887,2.8999,0.3323,1.6147,1.0362,3.7332,1.279,1.233,1.5625,1.1689,2.9921,0.6168,1.3265,1.0553,0.4187,6.5985,5.9291,1.805,0.9786,3.1165,1.5766,4.6146,1.295
3.4197,1.3966,0.6383,2.1312,0.2484,2.2418,0.1851,0.411,0.2155,0.02477,2.611,0,0.6001,0.2758,0.2848,4.0922,4.1905,1.5547,0.4228,1.4991,0.5118,1.5994,1.1518
3.6128,2.3462,2.1758,1.531,1.1176,4.4041,1.2846,1.5453,1.1455,1.3676,2.1609,0.9395,0.9735,0.308,0.6054,6.414,4.8869,2.1786,0.6914,2.4489,2.1487,4.0091,1.748
3.4746,1.3166,1.54,2.518,0.3177,3.9819,0.4889,0.3482,0.7336,0.7133,2.855,0.3853,0.6353,0.8851,1.2235,6.704,4.3878,2.1509,1.5503,1.6747,0.9213,3.6587,0.698
2.9811,0.3433,0.05539,0.05747,0.01175,4.7396,0,0.6501,0,0.001908,0,0.2911,0.8768,0,0.005313,7.1153,4.6797,0.8231,0,0.4967,1.0673,4.1211,0.468
3.5976,0.8428,2.0535,0.113,0.3595,4.8923,0.02918,0.3646,0.1648,0.1399,0.06714,1.1151,0.9159,0.4072,0.6149,6.5657,5.8478,1.2478,0.1112,0.6416,1.7212,4.5194,1.9715
1.0525,0.5273,1.181,0.01832,1.3084,2.4196,0.2981,0.6681,0.3956,0.2088,0.4673,0.1474,0.5166,0.4686,0,4.959,4.53,0.9371,0.4714,0.7985,0.1317,2.1888,0.8072
4.799,1.0007,0.8363,0.2601,0.2467,3.4086,0.1532,1.0001,0.641,0.2901,0.1503,0,0.533,0.1106,0.4886,5.817,3.7698,2.1067,0.5889,0.7964,1.0845,4.1961,0.9727
6.5863,0.8161,0,1.8523,0.286,2.0384,0.04038,0,0.1393,0,3.2117,0.07469,0.261,0.1914,1.2483,3.1892,2.4495,1.1826,0.3158,0.6679,0.3908,2.2885,0.4507
1.6136,1.1466,1.4118,1.2769,1.0932,0.5537,0.1271,0.7662,0.03836,0.1525,1.8386,0.1423,0,0,0.4033,4.8113,3.6886,1.5667,0.4486,0.729,0.9492,1.1215,1.2657
4.3291,1.2703,0.6972,0.149,0.6947,2.9043,0.7571,0.4327,0.5266,0.0222,0.1878,0.1654,0.8664,0.3361,0.359,5.5828,4.6055,1.7244,0.301,1.4006,1.7102,3.1338,0.305
3.6877,1.3703,1.7728,1.7048,2.0234,2.8611,0.09294,1.9052,0.07419,0.1528,2.3533,0.2048,0.2923,0.04997,0.2709,5.3918,4.751,2.3477,0.04859,0.9655,0.322,2.4477,1.7151
3.3698,0.1548,0.2008,1.6146,0.04256,1.8093,0.01624,0.3518,0.1917,0.3751,2.1985,0.04588,0.08662,0.195,0,4.1905,3.5222,1.5971,0.05791,0.8478,0.6033,1.9735,0.3933
3.1786,0.4276,0.1606,0.06316,0.003827,3.1566,0.5617,0.146,0.4371,0.07149,0.238,0.2178,0.1829,0.3651,0.07136,4.3906,5.0138,0.8191,0.1544,0.1146,0.494,1.0891,0.3685
3.905,1.657,1.7225,1.5237,0.399,1.5901,0,0.6047,0.7497,0.7347,3.115,0.3713,1.1095,0.1632,0.3741,3.4066,3.4812,0.8736,0,2.4551,0.2457,1.2993,1.9235
2.1995,0.6584,0.6927,0.103,0.08698,2.2248,0.01432,0.02975,0.207,0.01784,0.586,0.1407,0.6175,0,0.06697,4.0347,3.6763,0.7917,0.06255,1.0183,0.3645,1.728,0.2382
3.2799,0.8222,1.1383,0.7278,1.207,2.9906,0,2.0464,0.3245,0.28,0.8246,0.08206,0.1746,0.5543,0.3171,5.8572,5.1254,2.3918,0.6945,1.4133,1.0597,2.8476,1.3301
3.8812,0.6551,0.6352,0.5656,0.4621,4.4997,0.02719,0.07477,0.2173,0.7237,0.6039,1.0214,0.8737,0.8997,0.1793,6.7624,4.9845,1.6558,0.3438,1.1676,1.0475,4.9059,2.3858
2.7723,1.7816,0.6859,1.5946,1.1118,4.3505,1.6798,1.1025,1.8126,0.9275,1.7988,2.5923,2.1796,1.0465,0.8152,5.9152,6.2657,2.7366,1.0556,3.3446,2.3624,4.9621,0.4901
2.8034,2.0584,0.4243,0.02962,0.6266,2.9318,0.1274,0.5138,0.8088,0.0876,0.01305,0.846,0.7197,0.2699,0.2642,3.9828,4.3094,2.8689,0.7374,2.7318,1.1074,2.5752,0.8505
4.2419,1.0687,0.8386,1.8733,1.1618,1.9174,0.4075,1.1779,0.2982,0.827,3.1372,0.4865,0.4238,0.2274,0.4074,2.7143,3.3188,1.3644,0.8591,1.4769,0.6609,1.8377,1.8722
3.984,0.9348,0.1354,3.3142,0.4867,2.1461,0.3375,0,0.5391,0.6993,4.7338,0.4765,0.4152,0.486,2.2166,4.5201,4.6206,2.4244,0.4606,0.853,0.6854,2.2206,0.311
2.3346,0.7416,0.2272,0.02408,0.03604,2.9901,0,0.1227,0.1142,0.08275,0.5205,0,0.3596,0.02301,0,5.2187,4.0549,1.2001,0.8032,0.6334,0.3707,3.0968,0.3283
1.9673,0.7664,0.7234,0.07562,0.05132,2.342,0.107,0,0.5619,0.3907,0.02419,0.2948,0.4279,0.04829,0.5288,2.8757,3.6326,0.848,0.2473,1.4239,0.9151,2.0789,1.206
3.6005,0.7917,0.2739,0.3316,0.2287,3.9651,0,0.05,0.2486,0.2397,0.01505,0.01077,0.2733,0.02801,0.2072,5.9369,4.8071,0.9778,0.3994,0.7283,0.5918,3.9107,0.6998
2.7457,0.868,1.475,3.1418,0.3955,3.4461,0,0.2992,0.3488,0.8056,2.9241,0.3863,0.468,1.0773,1.8659,5.3756,3.7393,2.5702,0.7186,1.4749,0.6195,3.2015,0.6038
5.2371,1.2612,1.4715,1.4402,0.473,5.873,2.1438,1.0422,1.2823,0.8865,1.3118,1.6378,3.7305,2.3361,1.2475,7.3422,5.957,2.3549,1.989,5.9893,1.3471,5.916,2.052
2.603,0.3032,0.3462,1.1426,0.1756,1.8847,0,0.2054,0,0.4608,1.3384,0.5503,0.7844,0.3604,0,5.3135,3.8051,1.3524,0.04339,0.4276,0.7372,1.5358,0.6306
4.3378,2.0396,1.4458,0.1338,0.9251,5.5641,2.7093,1.1878,1.7965,1.4534,0.8781,1.2261,1.8184,1.3201,1.3751,5.1909,6.0713,2.2879,2.8625,1.9472,2.0445,5.3652,2.6292
4.4163,0.9597,1.391,0.864,0.9805,3.5571,0.08201,0.7691,0.07206,0.02354,1.3267,0.05875,0.6584,0.2331,0.2992,6.0946,4.9332,2.4128,0.3253,1.4144,1.2529,2.9817,1.5505
3.9338,1.2742,0.64,2.6304,0.2728,3.5052,0.1243,0.6902,0.3761,0.1442,4.3938,1.1729,4.497,1.6816,0.07623,5.7392,4.4037,1.6179,0.3943,1.6407,0.3913,3.8903,0.8671
1.8778,0.5889,1.4942,1.1417,0.5729,2.2955,0,1.0358,0.2116,0.1986,1.3875,0.03832,0.2181,0.333,0,2.0256,3.3759,0.8661,0.3326,0.4804,0.3328,1.6699,0.7584
3.5096,0.7541,1.2611,0.0802,0.09867,2.2524,0.2789,0.7549,0.3452,0.3282,0.09919,0.6936,0.6233,0.7263,0,5.55,4.9716,1.4292,0.3749,1.2299,0.7954,1.9984,0.9214
2.2269,1.1699,0.6374,0.8452,0.463,1.9361,0.09827,0.5927,0.08193,0.2278,1.0839,0.09228,0.3743,0.2856,0.2946,3.8972,3.2021,1.9322,0.5223,1.7014,0.696,2.5609,1.2608
4.667,1.1647,4.2714,3.654,0.8905,5.2348,2.0652,0.3354,6.0634,0.9154,4.5392,1.5487,3.0185,0.9357,1.0564,7.0443,5.6418,2.7795,1.7046,2.3065,1.6864,5.2851,3.3257
2.6637,0.6604,0.6256,0.2629,0,0.9262,0.02041,0.4058,0.1392,0.146,0.557,0.03136,0.4521,0.08131,0,4.0051,3.5731,0.5043,0.3369,0.698,0.4259,0.741,0.4015
3.7075,3.0325,0.2391,3.2726,0.6618,3.0544,1.9436,0.6322,0.9395,0.8868,3.7848,0.4814,1.3331,0.8031,0.3779,6.7817,6.4753,3.882,1.2146,3.0508,2.3468,1.2153,1.9454
1.7438,2.1301,1.7494,1.8458,0.8677,1.2757,0.1524,0.6817,0.4601,0.3852,2.2864,0.0499,0.2888,0.2678,0.1328,4.3524,3.5401,1.4192,0.6551,1.5291,1.356,0.7803,1.3519
3.2302,1.7872,0.7462,2.7378,0.996,3.2033,0.4818,1.2718,0.5674,0.6556,4.4245,0.6448,0.7552,0.6601,1.8445,6.0134,5.3635,2.7873,0.8658,1.2092,1.6598,2.9272,1.0411
4.5407,2.2898,0.983,1.9268,0.3828,4.6555,0.9484,0.4741,0.6602,1.2915,2.1278,1.3601,1.1658,0.6015,0.5567,6.559,5.5697,2.3576,1.2294,2.1525,1.5069,4.0509,1.2123
2.3449,0.8205,1.0036,0.6831,0.4303,4.2248,0.1654,0.2394,0.256,0.2416,2.272,0.3521,0.7245,0,0.845,4.6277,4.0893,2.6337,1.0509,1.6221,1.5132,4.8979,1.0373
3.4082,1.3274,1.1414,1.3028,0.6055,4.69,0.5029,0.756,0.5817,0.1651,2.0909,0.9603,1.1702,1.8311,1.5137,6.5265,4.6095,2.8929,0.497,2.0993,1.2355,4.6049,1.2443
3.1344,0.5312,0.7487,0.2219,0.1201,1.5352,0,0.004152,0,0.08879,0.624,0.1815,0.2727,0.4683,0.06015,5.0009,3.4086,1.283,0.1598,0.6572,0.4925,1.297,0.9848
2.8214,1.0074,2.0087,0.5534,0.3789,5.1588,0.9562,0.2367,1.8129,1.2758,1.2719,1.6975,0.9777,0.4665,0.1942,6.7581,5.0557,1.0915,0.4338,2.4579,1.5745,5.0562,2.0812
2.8103,0.4023,0.4595,0,0.1893,2.4213,0,0.3181,0.1617,0.09049,0.2342,0.312,0.03085,0.3944,0.01235,2.7161,3.2022,0.2124,0.2041,0,0.2215,0.8191,0.5531
4.7694,0.5445,2.2272,0.7347,2.6857,1.7352,0.05828,1.9085,0.3039,0,0.7479,0.1876,0.01164,0.1044,0.7655,2.4629,3.8509,1.1716,0,0.9348,0.3062,2.0685,3.2719
3.4326,0.8118,2.3879,0.1997,3.7373,2.5662,0.6167,1.8224,0.7678,0.1393,1.7547,0.6659,0.531,0,0.08633,5.8944,3.8515,1.8457,0.3675,1.5185,0.6712,1.7052,3.0689
3.0273,0.6154,0.571,1.2257,0.3408,2.2185,0,0.6068,0.09364,0.1437,2.1081,0.0002795,0.2158,0.1703,0.05906,5.4912,4.4205,0.7232,0.5751,0.9657,0.6686,2.4964,0.8561
3.4601,0.5664,0.2996,1.9489,0.2184,3.3454,0.05555,0.3587,0.2101,0.5542,3.6651,0.1507,0.678,0.6267,0.171,6.4469,4.9122,2.0303,0.8268,1.092,0.6307,3.2013,0.3113
2.6346,1.1814,0.9084,0.6149,0.4596,2.7435,0.01443,1.0195,0.6787,0.02414,1.4088,0.2188,0.3213,0.2077,0.1654,3.1674,3.1759,2.4916,1.1377,0.9206,1.1809,2.7169,0.2839
4.9797,1.0021,2.1889,1.4415,1.6374,3.8757,2.4531,2.4691,3.0468,1.6096,3.6834,3.2073,1.0024,1.2229,0.3534,6.3132,4.718,2.0498,0.1197,1.7956,1.6516,3.7682,2.0527
3.7984,0.2402,1.6659,3.233,2.2608,2.922,0.7341,1.59,0.6752,0.1366,3.6687,0.6006,0.5081,0.9897,0,6.3134,5.4317,2.8886,0.7036,1.695,1.06,3.6883,2.1857
2.9013,1.3248,2.6185,2.2178,1.0704,1.4273,1.054,0.6192,1.4282,0.1361,2.6065,1.3735,0.7286,0.02138,0.3746,3.9821,4.6043,1.62,0.9618,1.0383,1.218,2.025,1.7224
2.5866,0.8731,1.5751,1.3455,0.7614,1.7593,0.7817,0.7347,0.2585,0,1.1822,0,0.03693,0.1203,0.1457,5.4401,3.7871,2.0805,0.5294,0.8138,1.4313,2.833,1.4384
4.6862,0.1955,0.1751,0.07603,0,3.2408,0.06052,0.4616,0.5323,0.1335,0.1312,0.07914,0.7284,0.5421,0.215,5.8464,4.4044,2.5085,0.852,0.4049,0.8078,2.7943,0.5306
3.2777,0.1996,0.04556,0.03026,0.05487,3.771,1.0539,0,0.1066,0.009183,0.05466,0.1972,0.6056,0.03088,0.1145,3.8476,4.4225,2.0355,0.6413,1.0285,0.3578,3.4251,0.04773
2.4531,0.8225,0.7863,0.3154,0.7348,3.6618,0.7208,1.1782,1.4706,0.9376,1.1049,1.186,0.7721,1.6126,0.9701,4.1261,5.0758,1.5241,1.2738,1.1543,0.8098,3.0713,3.339
3.5814,1.5664,0.5329,1.026,0.4963,1.5377,0.1852,0.1116,0.6464,0.5628,2.6284,0,0.6479,0.4931,0.2675,3.7909,4.4206,1.377,0.6187,2.3426,1.5491,0.7921,0.881
5.3606,1.529,0.3882,3.0232,0.1433,3.224,0.07509,0.2365,0.239,0.6041,3.9209,0.8202,0.744,0.2249,1.1158,4.8993,4.9398,1.58,0.2541,1.5851,0.9497,2.7849,0.8542
3.6359,1.0097,0.801,0.08234,0.2264,1.955,0.7627,0.3305,0.7505,0.176,0,1.3939,1.0484,0.05354,0.2173,6.2021,4.4176,1.6065,0.4772,2.0106,1.5571,2.186,1.5656
2.4246,0.454,0.7129,0.3451,0.3112,2.9701,0.02207,0.2179,0,0.4264,0.7281,0.09302,0.4765,0.1938,0.3563,4.4677,3.723,0.8976,0.2021,0.8922,1.1777,2.7067,1.1876
3.5942,0.8423,1.5,1.1747,0.5841,3.7736,0,0.3719,0.1366,0.5281,0.8906,0.04018,0.4126,0.1807,0.5801,4.855,4.42,1.3733,0.5575,0.8174,1.3732,3.7109,1.2425
3.6072,1.0301,0.1051,2.9909,0.3479,1.7798,0,0.3697,0.2208,0.2093,3.8973,0.3245,0.5299,0,0.07445,5.3291,3.0692,0.4812,0.2971,1.1591,0.475,2.0497,0.02721
4.5134,1.1052,1.3243,0.4484,1.0646,3.5353,0.1614,1.053,0.5979,0.1048,1.327,0.3092,0.4672,0.5584,0.4418,6.5093,4.588,2.3833,1.3145,1.707,1.8672,3.8274,1.6382
3.4429,0.5479,0.1945,0.3858,0.2068,3.5016,0.2133,0.7597,0.4549,0.7641,1.1514,0.7598,0.7702,1.1388,0.1291,6.143,4.5348,1.3312,0.06738,0.6085,0.369,2.6696,1.05
3.905,1.5511,1.8324,2.1314,0.7557,2.3686,0.1013,0.5041,0.9597,0.6948,3.3129,0.8548,1.77,1.1633,0.8802,5.5399,4.6008,1.6427,0.8845,1.966,0.8533,2.9519,1.4355
2.7954,0.969,0.6296,1.0543,0.6342,2.3295,0.0003624,0.3933,0.1473,0.5178,2.213,0.2844,0.5367,0.1508,0.6301,4.8987,3.8112,1.4222,0.01333,0.9395,0.6116,2.4773,0.5163
4.354,0.7117,1.2891,0.4306,0.07119,2.8785,0.04761,0.03881,0.2585,0.2897,0.5807,0.277,1.0135,0.05832,0.1648,5.9641,3.6994,1.1058,0.2025,1.7276,0.7687,3.1158,0.2458
3.3577,0.9336,0.3278,1.5491,0.0222,2.5234,0.02135,0.3009,0.1666,0.4623,2.3595,0.294,0.4068,0.2251,0.752,3.3945,4.6716,1.2493,0.09031,0.9149,0.5711,2.2942,0.5239
2.0852,0.6611,1.6143,0.3088,0.2265,2.0158,0.4653,0.2569,0.5616,0.7555,1.4601,0.77,1.0025,0.2776,0.3302,3.9177,3.1432,1.6582,0.8671,2.1115,1.4499,2.2844,0.6129
3.2746,0.3245,1.7451,2.7227,0.6797,0.9451,0.1058,0.3614,0.2082,0.6257,3.6998,0.5099,0.846,0,0.09305,3.1435,3.5238,1.8703,0.2793,1.623,0.6438,0.9675,1.3798
4.6617,0.5775,0.5852,0.6889,0.3236,2.2389,0.01563,0.1638,0.4101,0.3651,1.11,0.9004,1.2078,1.0402,0.186,4.3812,4.6206,2.4224,0.2267,1.7415,1.3392,1.7592,2.0391
4.9316,1.595,1.0993,1.3702,0.2035,0.8084,0.1685,0.1743,0.5659,0.363,2.3665,0.44,0.9536,0.3071,0.1203,4.7678,4.298,1.1536,0.4032,2.5434,0.6529,1.4231,1.383
3.9897,0.2207,0.1732,2.825,0,1.5988,0.02243,0,0.001392,0.2465,3.7454,0.3558,0.2561,0.4376,0.5499,5.0763,5.0778,0.6888,0.1109,0.2688,0.2364,1.5226,1.6372
3.4641,0.919,0.7203,2.5552,0.3722,4.1102,0.1918,0.2636,0.2055,0.4258,3.1033,0.2519,0.71,0.3612,0.7113,6.4682,4.3351,2.182,0.6535,0.8553,1.2664,3.7638,0.7532
3.1995,0.1172,0.7791,0.0567,0.6125,3.5079,0.1213,0.5269,0.2326,0.3311,0.2316,0,0.03532,0.2599,0.2626,4.6615,3.2598,0.6273,1.0356,0.1918,0.5043,3.8791,1.682
1.8151,1.5118,0.7165,1.1711,0.2642,1.3475,0.04266,0.3532,0.06098,0.3538,2.0249,0,0.2529,0.008045,0,1.967,4.3308,1.8252,0.1303,1.032,0.6075,0.7309,1.0391
3.2082,0.9099,1.657,0.7726,1.4249,1.5047,0.04978,1.0678,0.2472,0.6192,1.0196,0.1599,0.765,0.4499,0.5576,3.9561,3.9747,2.1599,0.3819,1.6853,1.4078,0.1703,1.6519
4.3186,0.8903,0.3266,2.8194,0.5338,2.7864,0.3225,0.5575,0.8419,0.5415,4.4659,0.01489,0.6186,0.2313,2.267,4.6768,4.0197,2.8681,0.6104,1.1289,1.11,2.9211,0.8201
5.3135,1.8932,0.9439,4.148,0,3.1076,0.1403,0.8029,0.4398,0.3962,4.683,0.343,0.5708,0.2648,1.6266,6.2246,4.5754,2.0208,0.658,2.1444,0.9653,2.4461,1.2904
3.6046,0.3628,0.08281,1.4631,0.4576,2.0752,0.324,0.7029,0.3396,0.3646,2.3323,0.2356,0.544,0.2262,0.2696,4.1198,3.9488,1.6195,0.4565,0.7162,0.5208,2.3615,1.2156
2.7021,1.4368,0.5394,0.1214,0.4804,2.3966,0,0.3326,0.2987,0.1682,0.2633,0.559,0.4129,0.1365,0.09978,4.4053,3.2468,1.0498,0.1994,1.3823,0.9419,2.5865,0.3792
2.5525,0.5173,0.7185,1.6739,0.2869,2.011,0,0.1481,0.1507,0.3224,2.2718,0.3721,0.391,0.1855,0.1687,4.484,3.932,0.9198,0.1761,0.1825,0.7941,1.9046,1.1563
